"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","16","69","74","6","153.279465","0","82"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","16","84","25","2","214.470184","0","871"
"Globals","16","2558","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","16","15","16","1","52.412453","0","16"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","16","7","8","1","17.011631","0","9"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","16","24","5","1","79.117393","0","108"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","16","10","4","1","30.396929","0","26"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","16","10","3","1","29.972364","0","25"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","16","2","2","1","6.380673","0","2"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","16","66","1","1","214.488159","0","967"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","16","92","2","1","284.935120","0","1495"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","16","4","4","1","11.969136","0","5"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","16","639","7","1","1849.252319","0","31246"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","16","85","2","1","184.522751","0","1111"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","16","147","3","1","389.263245","0","1023"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","16","2","2","1","6.432401","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","16","12","12","1","3.217280","0","12"
"/Engine/VREditor/TransformGizmo/Main.Main","16","8","8","1","24.729614","0","8"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","16","8","8","1","22.659840","0","8"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","16","2","2","1","6.324406","0","2"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","16","8","8","1","23.821480","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","16","24","24","1","62.380337","0","24"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","16","49","52","1","122.246689","0","52"
