"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Alienboy/material/tshirt/Mat_T_Alienboy_tshirt10.Mat_T_Alienboy_tshirt10","16","0","36","1","0.000000","0","0"
"/Game/Alienboy/material/tshirt/Mat_T_Alienboy_tshirt1.Mat_T_Alienboy_tshirt1","16","0","36","1","0.000000","0","0"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts9.Mat_T_Alienboy_shorts9","16","0","36","1","0.000000","0","0"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts8.Mat_T_Alienboy_shorts8","16","0","36","1","0.000000","0","0"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts7.Mat_T_Alienboy_shorts7","16","0","36","1","0.000000","0","0"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts6.Mat_T_Alienboy_shorts6","16","0","36","1","0.000000","0","0"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts4.Mat_T_Alienboy_shorts4","16","0","36","1","0.000000","0","0"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts3.Mat_T_Alienboy_shorts3","16","0","36","1","0.000000","0","0"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts2.Mat_T_Alienboy_shorts2","16","0","36","1","0.000000","0","0"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts10.Mat_T_Alienboy_shorts10","16","0","36","1","0.000000","0","0"
"/Game/Alienboy/material/shorts/Mat_T_Alienboy_shorts1.Mat_T_Alienboy_shorts1","16","0","36","1","0.000000","0","0"
"/Game/Alienboy/material/head/Mat_T_Alienboy_head5.Mat_T_Alienboy_head5","16","0","24","1","0.000000","0","0"
"/Game/Alienboy/material/head/Mat_T_Alienboy_head4.Mat_T_Alienboy_head4","16","0","24","1","0.000000","0","0"
"/Game/Alienboy/material/head/Mat_T_Alienboy_head3.Mat_T_Alienboy_head3","16","0","24","1","0.000000","0","0"
"/Game/Alienboy/material/head/Mat_T_Alienboy_head2.Mat_T_Alienboy_head2","16","0","24","1","0.000000","0","0"
"/Game/Alienboy/material/floor/Mat_T_Alienboy_floor.Mat_T_Alienboy_floor","16","0","21","1","0.000000","0","0"
"/Game/Alienboy/material/cross/Mat_T_Alienboy_cross4.Mat_T_Alienboy_cross4","16","0","24","1","0.000000","0","0"
"/Game/Alienboy/material/cross/Mat_T_Alienboy_cross3.Mat_T_Alienboy_cross3","16","0","24","1","0.000000","0","0"
"/Game/Alienboy/material/cross/Mat_T_Alienboy_cross2.Mat_T_Alienboy_cross2","16","0","24","1","0.000000","0","0"
"/Game/Alienboy/material/cap/Mat_T_Alienboy_cap5.Mat_T_Alienboy_cap5","16","0","36","1","0.000000","0","0"
"/Game/Alienboy/material/cap/Mat_T_Alienboy_cap4.Mat_T_Alienboy_cap4","16","0","36","1","0.000000","0","0"
"/Game/Alienboy/material/cap/Mat_T_Alienboy_cap3.Mat_T_Alienboy_cap3","16","0","36","1","0.000000","0","0"
"/Game/Alienboy/material/cap/Mat_T_Alienboy_cap2.Mat_T_Alienboy_cap2","16","0","36","1","0.000000","0","0"
"/Game/Alienboy/material/body/Mat_T_Alienboy_body5.Mat_T_Alienboy_body5","16","0","24","1","0.000000","0","0"
"/Game/Alienboy/material/body/Mat_T_Alienboy_body4.Mat_T_Alienboy_body4","16","0","24","1","0.000000","0","0"
"/Game/Alienboy/material/body/Mat_T_Alienboy_body3.Mat_T_Alienboy_body3","16","0","24","1","0.000000","0","0"
"/Game/Alienboy/material/body/Mat_T_Alienboy_body2.Mat_T_Alienboy_body2","16","0","24","1","0.000000","0","0"
"/Game/Alienboy/material/cross/Mat_T_Alienboy_cross5.Mat_T_Alienboy_cross5","16","0","24","1","0.000000","0","0"
"/Game/Alienboy/Demo/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","16","0","21","1","0.000000","0","0"
"/Game/Alienboy/Demo/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","16","0","21","1","0.000000","0","0"
"/Game/Alienboy/Demo/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","16","0","42","1","0.000000","0","0"
"/Game/Alienboy/Demo/StarterContent/Props/Materials/M_TableRound.M_TableRound","16","0","21","1","0.000000","0","0"
"/Game/Alienboy/Demo/StarterContent/Props/Materials/M_Statue.M_Statue","16","0","21","1","0.000000","0","0"
"/Game/Alienboy/Demo/StarterContent/Props/Materials/M_Chair.M_Chair","16","0","21","1","0.000000","0","0"
"/Game/Alienboy/Demo/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","16","0","21","1","0.000000","0","0"
"/Game/Alienboy/Demo/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","16","0","21","1","0.000000","0","0"
"/Game/Alienboy/Demo/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","16","0","21","1","0.000000","0","0"
